University,CC,Values
CPP,Barstow Community College,8
CPP,Los Angeles Trade Technical College,5
CPP,American River College,9
CPP,Contra Costa College,7
CPP,College of the Desert,8
CPP,Los Angeles Harbor College,7
CPP,Mission College,8
CPP,City College of San Francisco,8
CPP,Compton Community College,7
CPP,Fresno City College,6
CPP,Reedley College,6
CPP,Shasta College,5
CPP,Lake Tahoe Community College,3
CPP,Cabrillo College,9
CPP,Glendale Community College,9
CPP,Los Angeles Valley College,6
CPP,San Diego Miramar College,7
CPP,Los Angeles Mission College,8
CPP,Ohlone College,5
CPP,Pasadena City College,9
CPP,Foothill College,9
CPP,Modesto Junior College,5
CPP,Mt. San Jacinto College,7
CPP,San Diego City College,5
CPP,Golden West College,8
CPP,Palomar College,11
CPP,Santa Rosa Junior College,8
CPP,Berkeley City College,4
CPP,Los Medanos College,5
CPP,Mount San Antonio College,9
CPP,Palo Verde College,0
CPP,Rio Hondo College,7
CPP,Saddleback College,8
CPP,Santiago Canyon College,10
CPP,West Hills College Coalinga,4
CPP,Canada College,7
CPP,Chaffey College,7
CPP,Crafton Hills College,7
CPP,Cypress College,8
CPP,Gavilan College,6
CPP,Napa Valley College,4
CPP,Orange Coast College,8
CPP,Laney College,5
CPP,Riverside City College,10
CPP,West Valley College,5
CPP,Lassen Community College,2
CPP,College of the Redwoods,5
CPP,Bakersfield College,7
CPP,Los Angeles Pierce College,8
CPP,Oxnard College,6
CPP,Yuba College,5
CPP,West Los Angeles College,7
CPP,Santa Barbara City College,8
CPP,Sierra College,8
CPP,Solano Community College,6
CPP,Ventura College,9
CPP,Chabot College,7
CPP,Citrus College,9
CPP,Cuyamaca College,10
CPP,Mendocino College,5
CPP,San Diego Mesa College,5
CPP,College of the Siskiyous,5
CPP,El Camino College,8
CPP,Cerritos College,9
CPP,Coastline Community College,8
CPP,Grossmont College,8
CPP,Imperial Valley College,8
CPP,MiraCosta College,10
CPP,San Joaquin Delta College,5
CPP,Allan Hancock College,6
CPP,College of Alameda,3
CPP,Copper Mountain College,9
CPP,De Anza College,7
CPP,Diablo Valley College,7
CPP,East Los Angeles College,8
CPP,Taft College,2
CPP,Antelope Valley College,8
CPP,Feather River College,3
CPP,Hartnell College,7
CPP,Irvine Valley College,9
CPP,Porterville College,4
CPP,Sacramento City College,10
CPP,Skyline College,8
CPP,Los Angeles Southwest College,8
CPP,San Bernardino Valley College,7
CPP,Monterey Peninsula College,9
CPP,Fullerton College,9
CPP,Long Beach City College,9
CPP,San Jose City College,4
CPP,Santa Monica College,9
CPP,Southwestern College,10
CPP,Moorpark College,8
CPP,College of the Canyons,8
CPP,Cosumnes River College,10
CPP,Folsom Lake College,8
CPP,West Hills College Lemoore,4
CPP,Woodland Community College,3
CPP,Norco College,10
CPP,Moreno Valley College,9
CPP,Clovis Community College,7
CPP,Compton College,7
UCI,Evergreen Valley College,3
UCI,Los Angeles City College,3
UCI,College of Marin,3
UCI,College of San Mateo,3
UCI,College of the Sequoias,3
UCI,Butte College,2
UCI,Cerro Coso Community College,2
UCI,Columbia College,2
UCI,Merritt College,2
UCI,Santa Ana College,3
UCI,Cuesta College,2
UCI,Merced College,3
UCI,Las Positas College,3
UCI,Victor Valley College,2
UCI,Barstow Community College,2
UCI,Los Angeles Trade Technical College,3
UCI,American River College,3
UCI,Contra Costa College,3
UCI,College of the Desert,2
UCI,Los Angeles Harbor College,2
UCI,Mission College,3
UCI,City College of San Francisco,3
UCI,Fresno City College,3
UCI,Reedley College,3
UCI,Shasta College,2
UCI,Lake Tahoe Community College,3
UCI,Cabrillo College,3
UCI,Glendale Community College,3
UCI,Los Angeles Valley College,3
UCI,San Diego Miramar College,2
UCI,Los Angeles Mission College,2
UCI,Ohlone College,2
UCI,Pasadena City College,3
UCI,Foothill College,3
UCI,Modesto Junior College,2
UCI,Mt. San Jacinto College,2
UCI,San Diego City College,3
UCI,Golden West College,3
UCI,Palomar College,3
UCI,Santa Rosa Junior College,2
UCI,Berkeley City College,3
UCI,Los Medanos College,2
UCI,Mount San Antonio College,3
UCI,Palo Verde College,1
UCI,Rio Hondo College,3
UCI,Saddleback College,3
UCI,Santiago Canyon College,3
UCI,West Hills College Coalinga,1
UCI,Canada College,3
UCI,Chaffey College,3
UCI,Crafton Hills College,3
UCI,Cypress College,3
UCI,Gavilan College,2
UCI,Napa Valley College,2
UCI,Orange Coast College,3
UCI,Laney College,2
UCI,Riverside City College,3
UCI,West Valley College,3
UCI,Lassen Community College,1
UCI,College of the Redwoods,2
UCI,Bakersfield College,2
UCI,Los Angeles Pierce College,3
UCI,Oxnard College,2
UCI,Yuba College,2
UCI,West Los Angeles College,3
UCI,Santa Barbara City College,3
UCI,Sierra College,2
UCI,Solano Community College,2
UCI,Ventura College,3
UCI,Chabot College,3
UCI,Citrus College,2
UCI,Cuyamaca College,2
UCI,Mendocino College,2
UCI,San Diego Mesa College,3
UCI,College of the Siskiyous,2
UCI,El Camino College,3
UCI,Cerritos College,3
UCI,Coastline Community College,2
UCI,Grossmont College,3
UCI,Imperial Valley College,2
UCI,MiraCosta College,3
UCI,San Joaquin Delta College,2
UCI,Allan Hancock College,2
UCI,College of Alameda,2
UCI,Copper Mountain College,3
UCI,De Anza College,3
UCI,Diablo Valley College,3
UCI,East Los Angeles College,3
UCI,Taft College,2
UCI,Antelope Valley College,3
UCI,Feather River College,1
UCI,Hartnell College,2
UCI,Irvine Valley College,3
UCI,Porterville College,2
UCI,Sacramento City College,2
UCI,Skyline College,3
UCI,Los Angeles Southwest College,2
UCI,San Bernardino Valley College,3
UCI,Monterey Peninsula College,2
UCI,Fullerton College,3
UCI,Long Beach City College,3
UCI,San Jose City College,2
UCI,Santa Monica College,2
UCI,Southwestern College,3
UCI,Moorpark College,3
UCI,College of the Canyons,2
UCI,Cosumnes River College,3
UCI,Folsom Lake College,3
UCI,West Hills College Lemoore,2
UCI,Woodland Community College,2
UCI,Norco College,3
UCI,Moreno Valley College,3
UCI,Clovis Community College,3
UCI,Compton College,3
UCB,Evergreen Valley College,4
UCB,Los Angeles City College,3
UCB,College of Marin,3
UCB,College of San Mateo,5
UCB,College of the Sequoias,2
UCB,Butte College,2
UCB,Cerro Coso Community College,2
UCB,Columbia College,2
UCB,Merritt College,3
UCB,Santa Ana College,3
UCB,Cuesta College,2
UCB,Merced College,2
UCB,Las Positas College,4
UCB,Victor Valley College,1
UCB,Barstow Community College,2
UCB,Los Angeles Trade Technical College,2
UCB,American River College,3
UCB,Contra Costa College,5
UCB,College of the Desert,3
UCB,Los Angeles Harbor College,4
UCB,Mission College,3
UCB,City College of San Francisco,3
UCB,Compton College,2
UCB,Fresno City College,2
UCB,Reedley College,3
UCB,Shasta College,2
UCB,Lake Tahoe Community College,2
UCB,Cabrillo College,4
UCB,Glendale Community College,4
UCB,Los Angeles Valley College,3
UCB,San Diego Miramar College,2
UCB,Los Angeles Mission College,3
UCB,Ohlone College,3
UCB,Pasadena City College,3
UCB,Foothill College,3
UCB,Modesto Junior College,2
UCB,Mt. San Jacinto College,2
UCB,San Diego City College,2
UCB,Golden West College,3
UCB,Palomar College,4
UCB,Santa Rosa Junior College,3
UCB,Berkeley City College,3
UCB,Los Medanos College,2
UCB,Mount San Antonio College,3
UCB,Palo Verde College,1
UCB,Rio Hondo College,2
UCB,Saddleback College,3
UCB,Santiago Canyon College,3
UCB,West Hills College Coalinga,2
UCB,Canada College,3
UCB,Chaffey College,2
UCB,Crafton Hills College,3
UCB,Cypress College,3
UCB,Gavilan College,2
UCB,Napa Valley College,2
UCB,Orange Coast College,4
UCB,Laney College,4
UCB,Riverside City College,3
UCB,West Valley College,2
UCB,Lassen Community College,2
UCB,College of the Redwoods,2
UCB,Bakersfield College,3
UCB,Los Angeles Pierce College,4
UCB,Oxnard College,2
UCB,Yuba College,2
UCB,West Los Angeles College,2
UCB,Santa Barbara City College,3
UCB,Sierra College,3
UCB,Solano Community College,2
UCB,Ventura College,2
UCB,Chabot College,4
UCB,Citrus College,2
UCB,Cuyamaca College,2
UCB,Mendocino College,2
UCB,San Diego Mesa College,2
UCB,College of the Siskiyous,2
UCB,El Camino College,3
UCB,Cerritos College,2
UCB,Coastline Community College,2
UCB,Grossmont College,2
UCB,Imperial Valley College,2
UCB,MiraCosta College,3
UCB,San Joaquin Delta College,3
UCB,Allan Hancock College,4
UCB,College of Alameda,2
UCB,Copper Mountain College,2
UCB,De Anza College,3
UCB,Diablo Valley College,4
UCB,East Los Angeles College,3
UCB,Taft College,2
UCB,Antelope Valley College,2
UCB,Feather River College,2
UCB,Hartnell College,3
UCB,Irvine Valley College,3
UCB,Porterville College,2
UCB,Sacramento City College,3
UCB,Skyline College,3
UCB,Los Angeles Southwest College,2
UCB,San Bernardino Valley College,2
UCB,Monterey Peninsula College,3
UCB,Fullerton College,3
UCB,Long Beach City College,2
UCB,San Jose City College,3
UCB,Santa Monica College,4
UCB,Southwestern College,3
UCB,Moorpark College,3
UCB,College of the Canyons,3
UCB,Cosumnes River College,3
UCB,Folsom Lake College,3
UCB,West Hills College Lemoore,2
UCB,Woodland Community College,2
UCB,Norco College,3
UCB,Moreno Valley College,3
UCB,Clovis Community College,3
UCSD,Evergreen Valley College,7
UCSD,Los Angeles City College,5
UCSD,College of Marin,6
UCSD,College of San Mateo,7
UCSD,College of the Sequoias,4
UCSD,Butte College,5
UCSD,Cerro Coso Community College,4
UCSD,Columbia College,4
UCSD,Merritt College,5
UCSD,Santa Ana College,6
UCSD,Cuesta College,6
UCSD,Merced College,5
UCSD,Las Positas College,8
UCSD,Victor Valley College,4
UCSD,Barstow Community College,5
UCSD,Los Angeles Trade Technical College,5
UCSD,American River College,7
UCSD,Contra Costa College,6
UCSD,College of the Desert,6
UCSD,Los Angeles Harbor College,4
UCSD,Mission College,5
UCSD,City College of San Francisco,8
UCSD,Fresno City College,7
UCSD,Reedley College,6
UCSD,Shasta College,4
UCSD,Lake Tahoe Community College,5
UCSD,Cabrillo College,8
UCSD,Glendale Community College,5
UCSD,Los Angeles Valley College,5
UCSD,San Diego Miramar College,7
UCSD,Los Angeles Mission College,4
UCSD,Ohlone College,8
UCSD,Pasadena City College,7
UCSD,Foothill College,7
UCSD,Modesto Junior College,5
UCSD,Mt. San Jacinto College,6
UCSD,San Diego City College,5
UCSD,Golden West College,8
UCSD,Palomar College,8
UCSD,Santa Rosa Junior College,7
UCSD,Berkeley City College,4
UCSD,Los Medanos College,6
UCSD,Mount San Antonio College,7
UCSD,Palo Verde College,1
UCSD,Rio Hondo College,5
UCSD,Saddleback College,6
UCSD,Santiago Canyon College,4
UCSD,West Hills College Coalinga,3
UCSD,Canada College,6
UCSD,Chaffey College,4
UCSD,Crafton Hills College,4
UCSD,Cypress College,6
UCSD,Gavilan College,5
UCSD,Napa Valley College,4
UCSD,Orange Coast College,7
UCSD,Laney College,5
UCSD,Riverside City College,5
UCSD,West Valley College,7
UCSD,Lassen Community College,2
UCSD,College of the Redwoods,4
UCSD,Bakersfield College,4
UCSD,Los Angeles Pierce College,6
UCSD,Oxnard College,4
UCSD,Yuba College,4
UCSD,West Los Angeles College,4
UCSD,Santa Barbara City College,8
UCSD,Sierra College,6
UCSD,Solano Community College,5
UCSD,Ventura College,7
UCSD,Chabot College,8
UCSD,Citrus College,4
UCSD,Cuyamaca College,8
UCSD,Mendocino College,4
UCSD,San Diego Mesa College,7
UCSD,College of the Siskiyous,4
UCSD,El Camino College,6
UCSD,Cerritos College,7
UCSD,Coastline Community College,5
UCSD,Grossmont College,8
UCSD,Imperial Valley College,7
UCSD,MiraCosta College,7
UCSD,San Joaquin Delta College,5
UCSD,Allan Hancock College,6
UCSD,College of Alameda,5
UCSD,Copper Mountain College,5
UCSD,De Anza College,8
UCSD,Diablo Valley College,8
UCSD,East Los Angeles College,5
UCSD,Taft College,3
UCSD,Antelope Valley College,8
UCSD,Feather River College,2
UCSD,Hartnell College,5
UCSD,Irvine Valley College,8
UCSD,Porterville College,4
UCSD,Sacramento City College,7
UCSD,Skyline College,6
UCSD,Los Angeles Southwest College,4
UCSD,San Bernardino Valley College,5
UCSD,Monterey Peninsula College,6
UCSD,Fullerton College,8
UCSD,Long Beach City College,5
UCSD,San Jose City College,5
UCSD,Santa Monica College,8
UCSD,Southwestern College,7
UCSD,Moorpark College,8
UCSD,College of the Canyons,6
UCSD,Cosumnes River College,7
UCSD,Folsom Lake College,7
UCSD,West Hills College Lemoore,3
UCSD,Woodland Community College,4
UCSD,Norco College,5
UCSD,Moreno Valley College,6
UCSD,Clovis Community College,5
UCSD,Compton College,6
UCM,Evergreen Valley College,8
UCM,Los Angeles City College,7
UCM,College of Marin,7
UCM,College of San Mateo,7
UCM,College of the Sequoias,7
UCM,Butte College,7
UCM,Cerro Coso Community College,7
UCM,Columbia College,7
UCM,Merritt College,7
UCM,Santa Ana College,7
UCM,Cuesta College,7
UCM,Merced College,9
UCM,Las Positas College,7
UCM,Victor Valley College,7
UCM,Barstow Community College,6
UCM,Los Angeles Trade Technical College,7
UCM,American River College,7
UCM,Contra Costa College,8
UCM,College of the Desert,7
UCM,Los Angeles Harbor College,7
UCM,Mission College,7
UCM,City College of San Francisco,7
UCM,Fresno City College,7
UCM,Reedley College,8
UCM,Shasta College,7
UCM,Lake Tahoe Community College,7
UCM,Cabrillo College,7
UCM,Glendale Community College,7
UCM,Los Angeles Valley College,7
UCM,San Diego Miramar College,7
UCM,Los Angeles Mission College,7
UCM,Ohlone College,7
UCM,Pasadena City College,7
UCM,Foothill College,7
UCM,Modesto Junior College,7
UCM,Mt. San Jacinto College,8
UCM,San Diego City College,7
UCM,Golden West College,7
UCM,Palomar College,7
UCM,Santa Rosa Junior College,7
UCM,Berkeley City College,7
UCM,Los Medanos College,7
UCM,Mount San Antonio College,7
UCM,Palo Verde College,1
UCM,Rio Hondo College,7
UCM,Saddleback College,8
UCM,Santiago Canyon College,7
UCM,West Hills College Coalinga,4
UCM,Canada College,7
UCM,Chaffey College,7
UCM,Crafton Hills College,7
UCM,Cypress College,7
UCM,Gavilan College,7
UCM,Napa Valley College,7
UCM,Orange Coast College,7
UCM,Laney College,7
UCM,Riverside City College,8
UCM,West Valley College,8
UCM,Lassen Community College,2
UCM,College of the Redwoods,7
UCM,Bakersfield College,8
UCM,Los Angeles Pierce College,7
UCM,Oxnard College,7
UCM,Yuba College,8
UCM,West Los Angeles College,8
UCM,Santa Barbara City College,7
UCM,Sierra College,7
UCM,Solano Community College,8
UCM,Ventura College,7
UCM,Chabot College,7
UCM,Citrus College,7
UCM,Cuyamaca College,7
UCM,Mendocino College,7
UCM,San Diego Mesa College,7
UCSC,Evergreen Valley College,5
UCSC,Los Angeles City College,4
UCSC,College of Marin,5
UCSC,College of San Mateo,5
UCSC,College of the Sequoias,2
UCSC,Butte College,3
UCSC,Cerro Coso Community College,1
UCSC,Columbia College,2
UCSC,Merritt College,1
UCSC,Santa Ana College,2
UCSC,Cuesta College,4
UCSC,Merced College,4
UCSC,Las Positas College,5
UCSC,Victor Valley College,2
UCSC,Barstow Community College,1
UCSC,Los Angeles Trade Technical College,3
UCSC,American River College,4
UCSC,Contra Costa College,5
UCSC,College of the Desert,4
UCSC,Los Angeles Harbor College,3
UCSC,Mission College,5
UCSC,City College of San Francisco,5
UCSC,Fresno City College,4
UCSC,Reedley College,4
UCSC,Shasta College,3
UCSC,Lake Tahoe Community College,2
UCSC,Cabrillo College,5
UCSC,Glendale Community College,3
UCSC,Los Angeles Valley College,2
UCSC,San Diego Miramar College,4
UCSC,Los Angeles Mission College,3
UCSC,Ohlone College,5
UCSC,Pasadena City College,4
UCSC,Foothill College,5
UCSC,Modesto Junior College,4
UCSC,Mt. San Jacinto College,5
UCSC,San Diego City College,3
UCSC,Golden West College,3
UCSC,Palomar College,5
UCSC,Santa Rosa Junior College,4
UCSC,Berkeley City College,4
UCSC,Los Medanos College,4
UCSC,Mount San Antonio College,4
UCSC,Palo Verde College,1
UCSC,Rio Hondo College,1
UCSC,Saddleback College,4
UCSC,Santiago Canyon College,2
UCSC,West Hills College Coalinga,1
UCSC,Canada College,5
UCSC,Chaffey College,1
UCSC,Crafton Hills College,5
UCSC,Cypress College,3
UCSC,Gavilan College,4
UCSC,Napa Valley College,2
UCSC,Orange Coast College,5
UCSC,Laney College,5
UCSC,Riverside City College,3
UCSC,West Valley College,5
UCSC,Lassen Community College,1
UCSC,College of the Redwoods,1
UCSC,Bakersfield College,3
UCSC,Los Angeles Pierce College,5
UCSC,Oxnard College,1
UCSC,Yuba College,3
UCSC,West Los Angeles College,3
UCSC,Santa Barbara City College,5
UCSC,Sierra College,4
UCSC,Solano Community College,4
UCSC,Ventura College,4
UCSC,Chabot College,5
UCSC,Citrus College,3
UCSC,Cuyamaca College,3
UCSC,Mendocino College,1
UCSC,San Diego Mesa College,3
UCSC,College of the Siskiyous,3
UCSC,El Camino College,4
UCSC,Cerritos College,5
UCSC,Coastline Community College,2
UCSC,Grossmont College,4
UCSC,Imperial Valley College,2
UCSC,MiraCosta College,5
UCSC,San Joaquin Delta College,5
UCSC,Allan Hancock College,3
UCSC,College of Alameda,2
UCSC,Copper Mountain College,3
UCSC,De Anza College,5
UCSC,Diablo Valley College,5
UCSC,East Los Angeles College,3
UCSC,Taft College,1
UCSC,Antelope Valley College,5
UCSC,Feather River College,1
UCSC,Hartnell College,5
UCSC,Irvine Valley College,5
UCSC,Porterville College,1
UCSC,Sacramento City College,5
UCSC,Skyline College,5
UCSC,Los Angeles Southwest College,2
UCSC,San Bernardino Valley College,4
UCSC,Monterey Peninsula College,5
UCSC,Fullerton College,5
UCSC,Long Beach City College,3
UCSC,San Jose City College,4
UCSC,Santa Monica College,5
UCSC,Southwestern College,4
UCSC,Moorpark College,4
UCSC,College of the Canyons,3
UCSC,Cosumnes River College,5
UCSC,Folsom Lake College,5
UCSC,West Hills College Lemoore,2
UCSC,Woodland Community College,1
UCSC,Norco College,4
UCSC,Moreno Valley College,3
UCSC,Clovis Community College,4
UCSC,Compton College,2
UCSB,Evergreen Valley College,5
UCSB,Los Angeles City College,6
UCSB,College of Marin,6
UCSB,College of San Mateo,6
UCSB,College of the Sequoias,6
UCSB,Butte College,5
UCSB,Cerro Coso Community College,4
UCSB,Columbia College,3
UCSB,Merritt College,4
UCSB,Santa Ana College,6
UCSB,Cuesta College,5
UCSB,Merced College,5
UCSB,Las Positas College,6
UCSB,Victor Valley College,6
UCSB,Barstow Community College,4
UCSB,Los Angeles Trade Technical College,5
UCSB,American River College,6
UCSB,Contra Costa College,6
UCSB,College of the Desert,6
UCSB,Los Angeles Harbor College,6
UCSB,Mission College,5
UCSB,City College of San Francisco,6
UCSB,Fresno City College,6
UCSB,Reedley College,6
UCSB,Shasta College,6
UCSB,Lake Tahoe Community College,3
UCSB,Cabrillo College,6
UCSB,Glendale Community College,5
UCSB,Los Angeles Valley College,5
UCSB,San Diego Miramar College,6
UCSB,Los Angeles Mission College,5
UCSB,Ohlone College,6
UCSB,Pasadena City College,6
UCSB,Foothill College,6
UCSB,Modesto Junior College,4
UCSB,Mt. San Jacinto College,6
UCSB,San Diego City College,6
UCSB,Golden West College,6
UCSB,Palomar College,6
UCSB,Santa Rosa Junior College,5
UCSB,Berkeley City College,6
UCSB,Los Medanos College,6
UCSB,Mount San Antonio College,6
UCSB,Palo Verde College,1
UCSB,Rio Hondo College,5
UCSB,Saddleback College,6
UCSB,Santiago Canyon College,6
UCSB,West Hills College Coalinga,3
UCSB,Canada College,6
UCSB,Chaffey College,6
UCSB,Crafton Hills College,5
UCSB,Cypress College,6
UCSB,Gavilan College,6
UCSB,Napa Valley College,5
UCSB,Orange Coast College,6
UCSB,Laney College,6
UCSB,Riverside City College,6
UCSB,West Valley College,6
UCSB,Lassen Community College,1
UCSB,College of the Redwoods,3
UCSB,Bakersfield College,5
UCSB,Los Angeles Pierce College,6
UCSB,Oxnard College,3
UCSB,Yuba College,6
UCSB,West Los Angeles College,5
UCSB,Santa Barbara City College,6
UCSB,Sierra College,6
UCSB,Solano Community College,4
UCSB,Ventura College,6
UCSB,Chabot College,6
UCSB,Citrus College,5
UCSB,Cuyamaca College,6
UCSB,Mendocino College,4
UCSB,San Diego Mesa College,6
UCSB,College of the Siskiyous,4
UCSB,El Camino College,6
UCSB,Cerritos College,5
UCSB,Coastline Community College,4
UCSB,Grossmont College,6
UCSB,Imperial Valley College,4
UCSB,MiraCosta College,6
UCSB,San Joaquin Delta College,6
UCSB,Allan Hancock College,6
UCSB,College of Alameda,5
UCSB,Copper Mountain College,6
UCSB,De Anza College,5
UCSB,Diablo Valley College,6
UCSB,East Los Angeles College,6
UCSB,Taft College,4
UCSB,Antelope Valley College,6
UCSB,Feather River College,3
UCSB,Hartnell College,6
UCSB,Irvine Valley College,6
UCSB,Porterville College,4
UCSB,Sacramento City College,6
UCSB,Skyline College,6
UCSB,Los Angeles Southwest College,5
UCSB,San Bernardino Valley College,6
UCSB,Monterey Peninsula College,5
UCSB,Fullerton College,6
UCSB,Long Beach City College,6
UCSB,San Jose City College,6
UCSB,Santa Monica College,6
UCSB,Southwestern College,5
UCSB,Moorpark College,6
UCSB,College of the Canyons,6
UCSB,Cosumnes River College,6
UCSB,Folsom Lake College,6
UCSB,West Hills College Lemoore,4
UCSB,Woodland Community College,3
UCSB,Norco College,6
UCSB,Moreno Valley College,6
UCSB,Clovis Community College,6
UCSB,Compton College,5
UCD,Evergreen Valley College,9
UCD,Los Angeles City College,9
UCD,College of Marin,9
UCD,College of San Mateo,9
UCD,College of the Sequoias,8
UCD,Butte College,8
UCD,Cerro Coso Community College,8
UCD,Columbia College,7
UCD,Merritt College,8
UCD,Santa Ana College,8
UCD,Cuesta College,9
UCD,Merced College,9
UCD,Las Positas College,9
UCD,Victor Valley College,8
UCD,Barstow Community College,5
UCD,Los Angeles Trade Technical College,8
UCD,American River College,9
UCD,Contra Costa College,9
UCD,College of the Desert,8
UCD,Los Angeles Harbor College,6
UCD,Mission College,7
UCD,City College of San Francisco,9
UCD,Compton College,6
UCD,Fresno City College,8
UCD,Reedley College,8
UCD,Shasta College,9
UCD,Lake Tahoe Community College,7
UCD,Cabrillo College,9
UCD,Glendale Community College,9
UCD,Los Angeles Valley College,8
UCD,San Diego Miramar College,8
UCD,Los Angeles Mission College,8
UCD,Ohlone College,9
UCD,Pasadena City College,6
UCD,Foothill College,9
UCD,Modesto Junior College,9
UCD,Mt. San Jacinto College,9
UCD,San Diego City College,8
UCD,Golden West College,8
UCD,Palomar College,9
UCD,Santa Rosa Junior College,9
UCD,Berkeley City College,8
UCD,Los Medanos College,9
UCD,Mount San Antonio College,8
UCD,Palo Verde College,2
UCD,Rio Hondo College,7
UCD,Saddleback College,8
UCD,Santiago Canyon College,8
UCD,West Hills College Coalinga,3
UCD,Canada College,9
UCD,Chaffey College,8
UCD,Crafton Hills College,9
UCD,Cypress College,7
UCD,Gavilan College,8
UCD,Napa Valley College,7
UCD,Orange Coast College,9
UCD,Laney College,9
UCD,Riverside City College,9
UCD,West Valley College,9
UCD,Lassen Community College,4
UCD,College of the Redwoods,6
UCD,Bakersfield College,8
UCD,Los Angeles Pierce College,9
UCD,Oxnard College,5
UCD,Yuba College,9
UCD,West Los Angeles College,9
UCD,Santa Barbara City College,9
UCD,Sierra College,9
UCD,Solano Community College,7
UCD,Ventura College,8
UCD,Chabot College,9
UCD,Citrus College,9
UCD,Cuyamaca College,8
UCD,Mendocino College,8
UCD,San Diego Mesa College,7
UCD,College of the Siskiyous,8
UCD,El Camino College,8
UCD,Cerritos College,8
UCD,Coastline Community College,5
UCD,Grossmont College,9
UCD,Imperial Valley College,7
UCD,MiraCosta College,9
UCD,San Joaquin Delta College,9
UCD,Allan Hancock College,8
UCD,College of Alameda,8
UCD,Copper Mountain College,9
UCD,De Anza College,9
UCD,Diablo Valley College,9
UCD,East Los Angeles College,7
UCD,Taft College,7
UCD,Antelope Valley College,9
UCD,Feather River College,5
UCD,Hartnell College,8
UCD,Irvine Valley College,9
UCD,Porterville College,6
UCD,Sacramento City College,8
UCD,Skyline College,8
UCD,Los Angeles Southwest College,8
UCD,San Bernardino Valley College,9
UCD,Monterey Peninsula College,9
UCD,Fullerton College,9
UCD,Long Beach City College,9
UCD,San Jose City College,8
UCD,Santa Monica College,8
UCD,Southwestern College,8
UCD,Moorpark College,9
UCD,College of the Canyons,8
UCD,Cosumnes River College,9
UCD,Folsom Lake College,6
UCD,West Hills College Lemoore,5
UCD,Woodland Community College,6
UCD,Norco College,8
UCD,Moreno Valley College,8
UCD,Clovis Community College,9
UCLA,Evergreen Valley College,8
UCLA,Los Angeles City College,8
UCLA,College of Marin,7
UCLA,College of San Mateo,7
UCLA,College of the Sequoias,8
UCLA,Butte College,8
UCLA,Cerro Coso Community College,7
UCLA,Columbia College,5
UCLA,Merritt College,7
UCLA,Santa Ana College,8
UCLA,Cuesta College,7
UCLA,Merced College,7
UCLA,Las Positas College,8
UCLA,Victor Valley College,8
UCLA,Barstow Community College,4
UCLA,Los Angeles Trade Technical College,8
UCLA,American River College,8
UCLA,Contra Costa College,8
UCLA,College of the Desert,8
UCLA,Los Angeles Harbor College,7
UCLA,Mission College,8
UCLA,City College of San Francisco,8
UCLA,Fresno City College,7
UCLA,Reedley College,8
UCLA,Shasta College,8
UCLA,Lake Tahoe Community College,8
UCLA,Cabrillo College,8
UCLA,Glendale Community College,8
UCLA,Los Angeles Valley College,8
UCLA,San Diego Miramar College,8
UCLA,Los Angeles Mission College,7
UCLA,Ohlone College,8
UCLA,Pasadena City College,8
UCLA,Foothill College,8
UCLA,Modesto Junior College,7
UCLA,Mt. San Jacinto College,8
UCLA,San Diego City College,8
UCLA,Golden West College,8
UCLA,Palomar College,8
UCLA,Santa Rosa Junior College,8
UCLA,Berkeley City College,7
UCLA,Los Medanos College,7
UCLA,Mount San Antonio College,8
UCLA,Palo Verde College,4
UCLA,Rio Hondo College,8
UCLA,Saddleback College,8
UCLA,Santiago Canyon College,8
UCLA,West Hills College Coalinga,5
UCLA,Canada College,8
UCLA,Chaffey College,7
UCLA,Crafton Hills College,8
UCLA,Cypress College,8
UCLA,Gavilan College,8
UCLA,Napa Valley College,7
UCLA,Orange Coast College,8
UCLA,Laney College,8
UCLA,Riverside City College,8
UCLA,West Valley College,7
UCLA,Lassen Community College,4
UCLA,College of the Redwoods,7
UCLA,Bakersfield College,8
UCLA,Los Angeles Pierce College,8
UCLA,Oxnard College,7
UCLA,Yuba College,8
UCLA,West Los Angeles College,7
UCLA,Santa Barbara City College,8
UCLA,Sierra College,8
UCLA,Solano Community College,7
UCLA,Ventura College,8
UCLA,Chabot College,8
UCLA,Citrus College,7
UCLA,Cuyamaca College,7
UCLA,Mendocino College,7
UCLA,San Diego Mesa College,8
UCR,Evergreen Valley College,5
UCR,Los Angeles City College,7
UCR,College of Marin,7
UCR,College of San Mateo,7
UCR,College of the Sequoias,4
UCR,Butte College,5
UCR,Cerro Coso Community College,2
UCR,Columbia College,4
UCR,Merritt College,6
UCR,Santa Ana College,5
UCR,Cuesta College,6
UCR,Merced College,5
UCR,Las Positas College,7
UCR,Victor Valley College,5
UCR,Barstow Community College,6
UCR,Los Angeles Trade Technical College,5
UCR,American River College,7
UCR,Contra Costa College,7
UCR,College of the Desert,7
UCR,Los Angeles Harbor College,6
UCR,Mission College,5
UCR,City College of San Francisco,7
UCR,Fresno City College,4
UCR,Reedley College,6
UCR,Shasta College,6
UCR,Lake Tahoe Community College,5
UCR,Cabrillo College,7
UCR,Glendale Community College,7
UCR,Los Angeles Valley College,6
UCR,San Diego Miramar College,6
UCR,Los Angeles Mission College,6
UCR,Ohlone College,7
UCR,Pasadena City College,7
UCR,Foothill College,6
UCR,Modesto Junior College,5
UCR,Mt. San Jacinto College,7
UCR,San Diego City College,4
